E0612 19:16:11.398704    2695 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 19:16:11.415257    2653 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=10000  (steps/update=5000)  seed=2
run-dir=runs/mappo_evo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/mappo_evo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd  184 | return    0.000 | deliv   0.00 | blocked 12.0% | idle  2.1% | ent 0.971
  upd  185 | return    0.000 | deliv   0.00 | blocked 13.1% | idle  1.9% | ent 0.978
  upd  186 | return    0.100 | deliv   0.10 | blocked 14.2% | idle  2.1% | ent 0.971
  upd  187 | return    0.100 | deliv   0.10 | blocked 14.8% | idle  1.9% | ent 0.962
  upd  188 | return    0.100 | deliv   0.10 | blocked 17.5% | idle  1.6% | ent 0.959
  upd  189 | return    0.000 | deliv   0.00 | blocked 20.4% | idle  1.3% | ent 0.945
  upd  190 | return    0.100 | deliv   0.10 | blocked 22.6% | idle  1.3% | ent 0.957
  upd  191 | return    0.200 | deliv   0.20 | blocked 20.0% | idle  1.1% | ent 0.941
  upd  192 | return    0.000 | deliv   0.00 | blocked 17.6% | idle  1.3% | ent 0.941
  upd  193 | return    0.000 | deliv   0.00 | blocked 16.6% | idle  1.4% | ent 0.951
  upd  194 | return    0.100 | deliv   0.10 | blocked 15.4% | idle  1.5% | ent 0.974
  upd  195 | return    0.000 | deliv   0.00 | blocked 16.6% | idle  1.5% | ent 0.974
  upd  196 | return    0.000 | deliv   0.00 | blocked 18.0% | idle  1.5% | ent 0.975
  upd  197 | return    0.100 | deliv   0.10 | blocked 18.2% | idle  1.5% | ent 0.964
  upd  198 | return    0.100 | deliv   0.10 | blocked 16.5% | idle  1.6% | ent 0.998
  upd  199 | return    0.000 | deliv   0.00 | blocked 16.9% | idle  1.6% | ent 0.986
  [replay @ update 200] return 0.00  deliveries 0  -> runs/mappo_evo_tiny-4ag_seed2/replays/replay_upd000200_s0.npz
  upd  200 | return    0.000 | deliv   0.00 | blocked 18.4% | idle  1.5% | ent 0.966
  upd  201 | return    0.300 | deliv   0.30 | blocked 19.2% | idle  1.5% | ent 0.973
  upd  202 | return    0.100 | deliv   0.10 | blocked 17.4% | idle  2.0% | ent 0.990
  upd  203 | return    0.100 | deliv   0.10 | blocked 18.7% | idle  1.8% | ent 0.979
  upd  204 | return    0.000 | deliv   0.00 | blocked 17.4% | idle  2.0% | ent 1.001
  upd  205 | return    0.100 | deliv   0.10 | blocked 16.7% | idle  2.2% | ent 0.994
  upd  206 | return    0.100 | deliv   0.10 | blocked 16.4% | idle  2.3% | ent 1.024
  upd  207 | return    0.200 | deliv   0.20 | blocked 17.5% | idle  2.5% | ent 1.002
  upd  208 | return    0.100 | deliv   0.10 | blocked 13.9% | idle  3.4% | ent 1.048
  upd  209 | return    0.200 | deliv   0.20 | blocked 18.2% | idle  3.1% | ent 1.026
  upd  210 | return    0.000 | deliv   0.00 | blocked 25.0% | idle  2.8% | ent 1.005
  upd  211 | return    0.200 | deliv   0.20 | blocked 23.0% | idle  2.9% | ent 0.998
  upd  212 | return    0.000 | deliv   0.00 | blocked 21.0% | idle  3.5% | ent 1.023
  upd  213 | return    0.400 | deliv   0.40 | blocked 26.8% | idle  3.6% | ent 1.017
  upd  214 | return    0.500 | deliv   0.50 | blocked 26.8% | idle  2.7% | ent 0.995
  upd  215 | return    0.100 | deliv   0.10 | blocked 29.3% | idle  2.4% | ent 0.948
  upd  216 | return    0.000 | deliv   0.00 | blocked 31.0% | idle  2.0% | ent 0.979
  upd  217 | return    0.100 | deliv   0.10 | blocked 26.8% | idle  2.5% | ent 0.999
  upd  218 | return    0.100 | deliv   0.10 | blocked 26.9% | idle  2.6% | ent 1.000
  upd  219 | return    0.100 | deliv   0.10 | blocked 27.6% | idle  3.1% | ent 0.991
  upd  220 | return    0.200 | deliv   0.20 | blocked 30.8% | idle  3.1% | ent 0.931
  upd  221 | return    0.200 | deliv   0.20 | blocked 34.1% | idle  2.8% | ent 0.924
  upd  222 | return    0.100 | deliv   0.10 | blocked 32.0% | idle  3.3% | ent 0.941
  upd  223 | return    0.300 | deliv   0.30 | blocked 34.4% | idle  2.1% | ent 0.870
  upd  224 | return    0.000 | deliv   0.00 | blocked 34.3% | idle  2.2% | ent 0.929
  upd  225 | return    0.100 | deliv   0.10 | blocked 32.1% | idle  2.4% | ent 0.935
  upd  226 | return    0.000 | deliv   0.00 | blocked 30.7% | idle  2.1% | ent 0.930
  upd  227 | return    0.400 | deliv   0.40 | blocked 32.3% | idle  1.6% | ent 0.924
  upd  228 | return    0.000 | deliv   0.00 | blocked 30.3% | idle  2.6% | ent 0.943
  upd  229 | return    0.100 | deliv   0.10 | blocked 31.8% | idle  2.7% | ent 0.967
  upd  230 | return    0.100 | deliv   0.10 | blocked 31.8% | idle  2.9% | ent 0.959
  upd  231 | return    0.000 | deliv   0.00 | blocked 29.8% | idle  3.1% | ent 0.939
  upd  232 | return    0.300 | deliv   0.30 | blocked 31.1% | idle  2.9% | ent 0.911
  upd  233 | return    0.000 | deliv   0.00 | blocked 36.0% | idle  3.1% | ent 0.939
  upd  234 | return    0.200 | deliv   0.20 | blocked 35.9% | idle  3.6% | ent 0.978
  upd  235 | return    0.100 | deliv   0.10 | blocked 35.1% | idle  4.6% | ent 1.005
  upd  236 | return    0.400 | deliv   0.40 | blocked 30.4% | idle  4.9% | ent 0.996
  upd  237 | return    0.200 | deliv   0.20 | blocked 35.3% | idle  4.2% | ent 0.933
  upd  238 | return    0.100 | deliv   0.10 | blocked 34.2% | idle  4.1% | ent 0.975
  upd  239 | return    0.100 | deliv   0.10 | blocked 38.9% | idle  4.5% | ent 0.927
  upd  240 | return    0.400 | deliv   0.40 | blocked 41.0% | idle  4.3% | ent 0.952
  upd  241 | return    0.300 | deliv   0.30 | blocked 38.9% | idle  5.0% | ent 0.866
  upd  242 | return    0.000 | deliv   0.00 | blocked 43.3% | idle  4.2% | ent 0.893
  upd  243 | return    0.000 | deliv   0.00 | blocked 39.8% | idle  4.3% | ent 0.928
  upd  244 | return    0.100 | deliv   0.10 | blocked 39.9% | idle  4.0% | ent 0.925
  upd  245 | return    0.000 | deliv   0.00 | blocked 35.3% | idle  4.7% | ent 0.974
  upd  246 | return    0.100 | deliv   0.10 | blocked 34.2% | idle  4.7% | ent 0.961
  upd  247 | return    0.000 | deliv   0.00 | blocked 39.0% | idle  4.4% | ent 0.927
  upd  248 | return    0.000 | deliv   0.00 | blocked 36.7% | idle  4.1% | ent 0.912
  upd  249 | return    0.000 | deliv   0.00 | blocked 42.9% | idle  3.8% | ent 0.896
  upd  250 | return    0.200 | deliv   0.20 | blocked 41.7% | idle  3.9% | ent 0.891
  upd  251 | return    0.400 | deliv   0.40 | blocked 41.8% | idle  3.4% | ent 0.840
  upd  252 | return    0.100 | deliv   0.10 | blocked 42.7% | idle  3.7% | ent 0.828
