E0603 10:12:55.239575    1230 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:12:55.252190    1187 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=0.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam0_seed2  chunk=100 updates/save
  upd  172 | return    0.100 | deliv   0.10 | blocked 38.6% | idle  1.9% | ent 0.741
  upd  173 | return    0.100 | deliv   0.10 | blocked 39.5% | idle  2.0% | ent 0.761
  upd  174 | return    0.400 | deliv   0.40 | blocked 38.8% | idle  2.1% | ent 0.749
  upd  175 | return    0.300 | deliv   0.30 | blocked 37.3% | idle  2.2% | ent 0.764
  upd  176 | return    0.400 | deliv   0.40 | blocked 39.9% | idle  1.8% | ent 0.743
  upd  177 | return    0.000 | deliv   0.00 | blocked 41.3% | idle  2.1% | ent 0.745
  upd  178 | return    0.200 | deliv   0.20 | blocked 40.7% | idle  1.6% | ent 0.737
  upd  179 | return    0.100 | deliv   0.10 | blocked 39.8% | idle  2.1% | ent 0.753
  upd  180 | return    0.200 | deliv   0.20 | blocked 39.7% | idle  2.2% | ent 0.763
  upd  181 | return    0.600 | deliv   0.60 | blocked 41.6% | idle  1.8% | ent 0.732
  upd  182 | return    0.200 | deliv   0.20 | blocked 42.2% | idle  2.0% | ent 0.752
  upd  183 | return    0.000 | deliv   0.00 | blocked 38.8% | idle  1.8% | ent 0.761
  upd  184 | return    0.100 | deliv   0.10 | blocked 42.2% | idle  1.8% | ent 0.737
  upd  185 | return    0.200 | deliv   0.20 | blocked 41.8% | idle  1.8% | ent 0.747
  upd  186 | return    0.400 | deliv   0.40 | blocked 42.0% | idle  1.8% | ent 0.723
  upd  187 | return    0.100 | deliv   0.10 | blocked 40.7% | idle  1.6% | ent 0.725
  upd  188 | return    0.400 | deliv   0.40 | blocked 39.9% | idle  2.0% | ent 0.740
  upd  189 | return    0.200 | deliv   0.20 | blocked 41.7% | idle  1.7% | ent 0.730
  upd  190 | return    0.300 | deliv   0.30 | blocked 39.6% | idle  2.0% | ent 0.747
  upd  191 | return    0.000 | deliv   0.00 | blocked 40.4% | idle  1.6% | ent 0.740
  upd  192 | return    0.000 | deliv   0.00 | blocked 38.1% | idle  1.5% | ent 0.741
  upd  193 | return    0.100 | deliv   0.10 | blocked 37.0% | idle  1.9% | ent 0.760
  upd  194 | return    0.200 | deliv   0.20 | blocked 38.2% | idle  1.6% | ent 0.742
  upd  195 | return    0.100 | deliv   0.10 | blocked 37.9% | idle  1.7% | ent 0.751
  upd  196 | return    0.300 | deliv   0.30 | blocked 37.8% | idle  1.6% | ent 0.754
  upd  197 | return    0.000 | deliv   0.00 | blocked 35.4% | idle  1.8% | ent 0.761
  upd  198 | return    0.300 | deliv   0.30 | blocked 38.8% | idle  1.5% | ent 0.755
  upd  199 | return    0.300 | deliv   0.30 | blocked 38.4% | idle  1.5% | ent 0.740
  upd  200 | return    0.300 | deliv   0.30 | blocked 37.6% | idle  1.6% | ent 0.747
  upd  201 | return    0.200 | deliv   0.20 | blocked 38.3% | idle  1.5% | ent 0.750
  upd  202 | return    0.100 | deliv   0.10 | blocked 37.8% | idle  1.5% | ent 0.749
  upd  203 | return    0.200 | deliv   0.20 | blocked 39.0% | idle  1.4% | ent 0.743
  upd  204 | return    0.600 | deliv   0.60 | blocked 37.8% | idle  1.5% | ent 0.758
  upd  205 | return    0.100 | deliv   0.10 | blocked 36.4% | idle  1.6% | ent 0.756
  upd  206 | return    0.300 | deliv   0.30 | blocked 38.5% | idle  1.6% | ent 0.757
  upd  207 | return    0.400 | deliv   0.40 | blocked 39.7% | idle  1.5% | ent 0.743
  upd  208 | return    0.300 | deliv   0.30 | blocked 37.5% | idle  1.8% | ent 0.765
  upd  209 | return    0.400 | deliv   0.40 | blocked 38.2% | idle  1.4% | ent 0.775
  upd  210 | return    0.100 | deliv   0.10 | blocked 35.7% | idle  1.5% | ent 0.792
  upd  211 | return    0.200 | deliv   0.20 | blocked 35.4% | idle  1.6% | ent 0.798
  upd  212 | return    0.100 | deliv   0.10 | blocked 34.8% | idle  1.6% | ent 0.813
  upd  213 | return    0.400 | deliv   0.40 | blocked 35.4% | idle  1.3% | ent 0.798
