E0612 22:33:23.491862   13141 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0612 22:33:23.508828   13099 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ippo (centralised_critic=False, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ippo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 0] return 0.00  deliveries 0  -> runs/ippo_tiny-4ag_seed2/replays/replay_upd000000_s0.npz
  upd  196 | return    0.000 | deliv   0.00 | blocked 17.2% | idle  8.3% | ent 0.809
  upd  197 | return    0.100 | deliv   0.10 | blocked 14.9% | idle  8.6% | ent 0.833
  upd  198 | return    0.000 | deliv   0.00 | blocked 16.3% | idle  9.8% | ent 0.814
  upd  199 | return    0.000 | deliv   0.00 | blocked 15.2% | idle  9.8% | ent 0.781
  [replay @ update 200] return 0.00  deliveries 0  -> runs/ippo_tiny-4ag_seed2/replays/replay_upd000200_s0.npz
  upd  200 | return    0.000 | deliv   0.00 | blocked 14.0% | idle  9.1% | ent 0.742
  upd  201 | return    0.100 | deliv   0.10 | blocked 13.6% | idle  8.0% | ent 0.766
  upd  202 | return    0.000 | deliv   0.00 | blocked 15.3% | idle  8.6% | ent 0.776
  upd  203 | return    0.000 | deliv   0.00 | blocked 12.9% | idle  9.0% | ent 0.766
  upd  204 | return    0.000 | deliv   0.00 | blocked 11.8% | idle 10.1% | ent 0.779
  upd  205 | return    0.000 | deliv   0.00 | blocked  9.6% | idle  9.6% | ent 0.744
  upd  206 | return    0.000 | deliv   0.00 | blocked  8.0% | idle 10.5% | ent 0.743
  upd  207 | return    0.100 | deliv   0.10 | blocked  7.4% | idle 11.3% | ent 0.765
  upd  208 | return    0.000 | deliv   0.00 | blocked 10.3% | idle 18.1% | ent 0.793
  upd  209 | return    0.000 | deliv   0.00 | blocked  7.3% | idle 14.8% | ent 0.719
  upd  210 | return    0.200 | deliv   0.20 | blocked  7.0% | idle 13.5% | ent 0.687
  upd  211 | return    0.100 | deliv   0.10 | blocked 11.1% | idle 13.4% | ent 0.666
  upd  212 | return    0.000 | deliv   0.00 | blocked 10.3% | idle 11.6% | ent 0.625
  upd  213 | return    0.100 | deliv   0.10 | blocked  8.2% | idle  9.0% | ent 0.616
  upd  214 | return    0.100 | deliv   0.10 | blocked  9.8% | idle  7.5% | ent 0.632
  upd  215 | return    0.000 | deliv   0.00 | blocked 12.4% | idle  6.9% | ent 0.576
  upd  216 | return    0.100 | deliv   0.10 | blocked  9.0% | idle  5.6% | ent 0.533
  upd  217 | return    0.000 | deliv   0.00 | blocked  9.1% | idle  5.0% | ent 0.557
  upd  218 | return    0.000 | deliv   0.00 | blocked  9.9% | idle  4.2% | ent 0.538
  upd  219 | return    0.000 | deliv   0.00 | blocked  7.4% | idle  3.4% | ent 0.486
  upd  220 | return    0.000 | deliv   0.00 | blocked  8.2% | idle  2.7% | ent 0.487
  upd  221 | return    0.000 | deliv   0.00 | blocked  5.6% | idle  2.4% | ent 0.464
  upd  222 | return    0.100 | deliv   0.10 | blocked  4.1% | idle  2.3% | ent 0.468
  upd  223 | return    0.000 | deliv   0.00 | blocked  5.2% | idle  2.7% | ent 0.476
  upd  224 | return    0.200 | deliv   0.20 | blocked  4.8% | idle  2.4% | ent 0.506
  upd  225 | return    0.000 | deliv   0.00 | blocked  8.3% | idle  2.3% | ent 0.531
  upd  226 | return    0.100 | deliv   0.10 | blocked 14.1% | idle  2.1% | ent 0.511
  upd  227 | return    0.000 | deliv   0.00 | blocked  5.9% | idle  1.6% | ent 0.423
  upd  228 | return    0.000 | deliv   0.00 | blocked  5.2% | idle  2.0% | ent 0.395
  upd  229 | return    0.000 | deliv   0.00 | blocked  4.0% | idle  1.9% | ent 0.368
  upd  230 | return    0.000 | deliv   0.00 | blocked  4.3% | idle  1.8% | ent 0.373
  upd  231 | return    0.000 | deliv   0.00 | blocked  3.8% | idle  2.3% | ent 0.369
  upd  232 | return    0.000 | deliv   0.00 | blocked  3.5% | idle  2.7% | ent 0.353
  upd  233 | return    0.000 | deliv   0.00 | blocked  3.3% | idle  2.5% | ent 0.356
  upd  234 | return    0.100 | deliv   0.10 | blocked  2.6% | idle  2.7% | ent 0.346
  upd  235 | return    0.000 | deliv   0.00 | blocked  3.7% | idle  4.0% | ent 0.371
  upd  236 | return    0.100 | deliv   0.10 | blocked  3.4% | idle  3.3% | ent 0.366
  upd  237 | return    0.000 | deliv   0.00 | blocked  3.8% | idle  3.1% | ent 0.317
  upd  238 | return    0.100 | deliv   0.10 | blocked  2.9% | idle  3.3% | ent 0.328
  upd  239 | return    0.200 | deliv   0.20 | blocked  2.8% | idle  2.7% | ent 0.316
  upd  240 | return    0.000 | deliv   0.00 | blocked  2.9% | idle  1.9% | ent 0.246
  upd  241 | return    0.000 | deliv   0.00 | blocked  1.5% | idle  1.6% | ent 0.263
  upd  242 | return    0.000 | deliv   0.00 | blocked  1.4% | idle  2.2% | ent 0.285
  upd  243 | return    0.000 | deliv   0.00 | blocked  2.5% | idle  2.1% | ent 0.302
  upd  244 | return    0.000 | deliv   0.00 | blocked  2.5% | idle  1.7% | ent 0.289
  upd  245 | return    0.000 | deliv   0.00 | blocked  1.6% | idle  3.2% | ent 0.321
  upd  246 | return    0.000 | deliv   0.00 | blocked  1.5% | idle  2.6% | ent 0.289
  upd  247 | return    0.000 | deliv   0.00 | blocked  1.8% | idle  3.0% | ent 0.303
