E0602 22:37:41.946430     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0602 22:37:41.968346     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd  213 | return    0.100 | deliv   0.10 | blocked 33.0% | idle  0.6% | ent 0.802
  upd  214 | return    0.000 | deliv   0.00 | blocked 30.4% | idle  0.5% | ent 0.817
  upd  215 | return    0.100 | deliv   0.10 | blocked 28.8% | idle  0.6% | ent 0.830
  upd  216 | return    0.300 | deliv   0.30 | blocked 29.5% | idle  0.5% | ent 0.844
  upd  217 | return    0.000 | deliv   0.00 | blocked 29.1% | idle  0.6% | ent 0.872
  upd  218 | return    0.000 | deliv   0.00 | blocked 26.4% | idle  0.7% | ent 0.891
  upd  219 | return    0.100 | deliv   0.10 | blocked 23.4% | idle  0.7% | ent 0.911
  upd  220 | return    0.200 | deliv   0.20 | blocked 20.5% | idle  0.7% | ent 0.927
  upd  221 | return    0.100 | deliv   0.10 | blocked 20.4% | idle  0.7% | ent 0.953
  upd  222 | return    0.000 | deliv   0.00 | blocked 19.4% | idle  0.8% | ent 0.953
  upd  223 | return    0.000 | deliv   0.00 | blocked 19.3% | idle  0.8% | ent 0.963
  upd  224 | return    0.100 | deliv   0.10 | blocked 18.1% | idle  0.7% | ent 0.954
  upd  225 | return    0.000 | deliv   0.00 | blocked 17.1% | idle  0.8% | ent 0.967
  upd  226 | return    0.000 | deliv   0.00 | blocked 17.8% | idle  0.8% | ent 0.975
  upd  227 | return    0.000 | deliv   0.00 | blocked 17.5% | idle  0.7% | ent 0.992
  upd  228 | return    0.200 | deliv   0.20 | blocked 15.9% | idle  0.9% | ent 0.984
  upd  229 | return    0.000 | deliv   0.00 | blocked 15.6% | idle  0.8% | ent 0.971
  upd  230 | return    0.200 | deliv   0.20 | blocked 15.5% | idle  0.8% | ent 0.984
  upd  231 | return    0.100 | deliv   0.10 | blocked 14.8% | idle  0.9% | ent 0.974
  upd  232 | return    0.000 | deliv   0.00 | blocked 16.2% | idle  0.9% | ent 0.971
  upd  233 | return    0.000 | deliv   0.00 | blocked 16.8% | idle  0.7% | ent 0.985
  upd  234 | return    0.000 | deliv   0.00 | blocked 15.0% | idle  0.8% | ent 0.978
  upd  235 | return    0.100 | deliv   0.10 | blocked 13.7% | idle  0.7% | ent 0.972
  upd  236 | return    0.200 | deliv   0.20 | blocked 15.0% | idle  0.7% | ent 0.979
  upd  237 | return    0.000 | deliv   0.00 | blocked 15.4% | idle  0.8% | ent 0.980
  upd  238 | return    0.200 | deliv   0.20 | blocked 16.7% | idle  0.7% | ent 0.991
  upd  239 | return    0.300 | deliv   0.30 | blocked 17.4% | idle  0.7% | ent 0.985
  upd  240 | return    0.200 | deliv   0.20 | blocked 17.6% | idle  0.7% | ent 0.972
  upd  241 | return    0.100 | deliv   0.10 | blocked 21.6% | idle  0.7% | ent 0.975
  upd  242 | return    0.000 | deliv   0.00 | blocked 25.7% | idle  0.7% | ent 0.950
  upd  243 | return    0.000 | deliv   0.00 | blocked 26.4% | idle  0.7% | ent 0.921
  upd  244 | return    0.100 | deliv   0.10 | blocked 28.1% | idle  0.5% | ent 0.903
  upd  245 | return    0.100 | deliv   0.10 | blocked 32.7% | idle  0.7% | ent 0.887
  upd  246 | return    0.100 | deliv   0.10 | blocked 34.1% | idle  0.4% | ent 0.861
  upd  247 | return    0.000 | deliv   0.00 | blocked 39.4% | idle  0.5% | ent 0.829
  upd  248 | return    0.400 | deliv   0.40 | blocked 37.6% | idle  0.6% | ent 0.824
  upd  249 | return    0.000 | deliv   0.00 | blocked 39.3% | idle  0.5% | ent 0.805
  upd  250 | return    0.000 | deliv   0.00 | blocked 37.7% | idle  0.5% | ent 0.805
  upd  251 | return    0.100 | deliv   0.10 | blocked 42.3% | idle  0.5% | ent 0.794
  upd  252 | return    0.200 | deliv   0.20 | blocked 41.1% | idle  0.5% | ent 0.795
  upd  253 | return    0.200 | deliv   0.20 | blocked 37.4% | idle  0.4% | ent 0.796
  upd  254 | return    0.000 | deliv   0.00 | blocked 42.5% | idle  0.5% | ent 0.762
  upd  255 | return    0.300 | deliv   0.30 | blocked 42.7% | idle  0.4% | ent 0.750
  upd  256 | return    0.100 | deliv   0.10 | blocked 47.5% | idle  0.4% | ent 0.714
  upd  257 | return    0.300 | deliv   0.30 | blocked 46.5% | idle  0.4% | ent 0.702
  upd  258 | return    0.000 | deliv   0.00 | blocked 48.5% | idle  0.5% | ent 0.691
