E0614 00:22:39.568782   17332 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:22:39.586518   17290 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=maa2c (centralised_critic=True, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/maa2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 3000 (latest) (15,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 3000] return 4.00  deliveries 4  -> runs/maa2c_tiny-4ag_seed2/replays/replay_upd003000_s0.npz
  upd 3216 | return    5.600 | deliv   5.60 | blocked 12.8% | idle  0.5% | ent 0.592
  upd 3217 | return    4.400 | deliv   4.40 | blocked 14.0% | idle  0.4% | ent 0.583
  upd 3218 | return    3.200 | deliv   3.20 | blocked 15.0% | idle  0.4% | ent 0.507
  upd 3219 | return    4.300 | deliv   4.30 | blocked 13.1% | idle  0.5% | ent 0.556
  upd 3220 | return    5.400 | deliv   5.40 | blocked 15.6% | idle  0.6% | ent 0.614
  upd 3221 | return    4.000 | deliv   4.00 | blocked 12.7% | idle  0.5% | ent 0.590
  upd 3222 | return    3.600 | deliv   3.60 | blocked 12.4% | idle  0.4% | ent 0.563
  upd 3223 | return    3.100 | deliv   3.10 | blocked 13.4% | idle  0.5% | ent 0.536
  upd 3224 | return    5.500 | deliv   5.50 | blocked 12.8% | idle  0.4% | ent 0.552
  upd 3225 | return    3.800 | deliv   3.80 | blocked 12.0% | idle  0.5% | ent 0.540
  upd 3226 | return    3.800 | deliv   3.80 | blocked 14.4% | idle  0.4% | ent 0.526
  upd 3227 | return    4.000 | deliv   4.00 | blocked 13.3% | idle  0.5% | ent 0.514
  upd 3228 | return    2.900 | deliv   2.90 | blocked 12.4% | idle  0.4% | ent 0.542
  upd 3229 | return    4.000 | deliv   4.00 | blocked 10.5% | idle  0.6% | ent 0.572
  upd 3230 | return    3.800 | deliv   3.80 | blocked 10.8% | idle  0.5% | ent 0.545
  upd 3231 | return    4.900 | deliv   4.90 | blocked 10.5% | idle  0.6% | ent 0.601
  upd 3232 | return    3.900 | deliv   3.90 | blocked 10.4% | idle  0.6% | ent 0.570
  upd 3233 | return    5.400 | deliv   5.40 | blocked  9.0% | idle  0.6% | ent 0.600
  upd 3234 | return    4.200 | deliv   4.20 | blocked  9.7% | idle  0.5% | ent 0.617
  upd 3235 | return    4.700 | deliv   4.70 | blocked  9.2% | idle  0.6% | ent 0.606
  upd 3236 | return    2.800 | deliv   2.80 | blocked 12.8% | idle  0.5% | ent 0.577
  upd 3237 | return    3.800 | deliv   3.80 | blocked 11.5% | idle  0.5% | ent 0.592
  upd 3238 | return    3.300 | deliv   3.30 | blocked 11.9% | idle  0.5% | ent 0.591
  upd 3239 | return    4.800 | deliv   4.80 | blocked 12.6% | idle  0.5% | ent 0.586
  upd 3240 | return    4.900 | deliv   4.90 | blocked 11.6% | idle  0.5% | ent 0.591
  upd 3241 | return    3.800 | deliv   3.80 | blocked 12.5% | idle  0.5% | ent 0.596
  upd 3242 | return    2.200 | deliv   2.20 | blocked 14.5% | idle  0.5% | ent 0.534
  upd 3243 | return    3.900 | deliv   3.90 | blocked 14.5% | idle  0.4% | ent 0.559
  upd 3244 | return    3.600 | deliv   3.60 | blocked 14.3% | idle  0.5% | ent 0.547
