E0614 00:51:54.171492     452 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0614 00:51:54.190415     407 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=ia2c (centralised_critic=False, use_ppo=False, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=4000  (steps/update=5000)  seed=2
run-dir=runs/ia2c_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
resumed from checkpoint step 2000 (latest) (10,000,000 env steps)
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  [replay @ update 2000] return 4.00  deliveries 4  -> runs/ia2c_tiny-4ag_seed2/replays/replay_upd002000_s0.npz
  upd 2201 | return    3.900 | deliv   3.90 | blocked 15.1% | idle  0.1% | ent 0.321
  upd 2202 | return    5.400 | deliv   5.40 | blocked 18.9% | idle  0.2% | ent 0.358
  upd 2203 | return    5.300 | deliv   5.30 | blocked  9.2% | idle  0.1% | ent 0.382
  upd 2204 | return    4.400 | deliv   4.40 | blocked 10.5% | idle  0.2% | ent 0.404
  upd 2205 | return    6.300 | deliv   6.30 | blocked  9.7% | idle  0.1% | ent 0.388
  upd 2206 | return    5.100 | deliv   5.10 | blocked  9.3% | idle  0.1% | ent 0.361
  upd 2207 | return    3.700 | deliv   3.70 | blocked  8.0% | idle  0.1% | ent 0.370
  upd 2208 | return    4.600 | deliv   4.60 | blocked  8.5% | idle  0.2% | ent 0.387
  upd 2209 | return    5.600 | deliv   5.60 | blocked 10.1% | idle  0.2% | ent 0.398
  upd 2210 | return    5.000 | deliv   5.00 | blocked  7.9% | idle  0.1% | ent 0.374
  upd 2211 | return    4.400 | deliv   4.40 | blocked 22.9% | idle  0.1% | ent 0.314
  upd 2212 | return    2.900 | deliv   2.90 | blocked 18.4% | idle  0.1% | ent 0.313
  upd 2213 | return    3.900 | deliv   3.90 | blocked 13.2% | idle  0.1% | ent 0.361
  upd 2214 | return    3.200 | deliv   3.20 | blocked 22.5% | idle  0.1% | ent 0.301
  upd 2215 | return    3.300 | deliv   3.30 | blocked 15.8% | idle  0.1% | ent 0.328
  upd 2216 | return    3.200 | deliv   3.20 | blocked 18.2% | idle  0.2% | ent 0.337
  upd 2217 | return    3.600 | deliv   3.60 | blocked 13.7% | idle  0.1% | ent 0.340
  upd 2218 | return    5.900 | deliv   5.90 | blocked 18.8% | idle  0.1% | ent 0.336
  upd 2219 | return    2.400 | deliv   2.40 | blocked 16.9% | idle  0.1% | ent 0.298
  upd 2220 | return    4.800 | deliv   4.80 | blocked 16.8% | idle  0.1% | ent 0.332
  upd 2221 | return    5.200 | deliv   5.20 | blocked  7.2% | idle  0.1% | ent 0.393
  upd 2222 | return    5.300 | deliv   5.30 | blocked 16.3% | idle  0.1% | ent 0.359
  upd 2223 | return    3.900 | deliv   3.90 | blocked 13.5% | idle  0.2% | ent 0.358
  upd 2224 | return    3.900 | deliv   3.90 | blocked 12.7% | idle  0.2% | ent 0.386
  upd 2225 | return    3.600 | deliv   3.60 | blocked 10.8% | idle  0.2% | ent 0.375
  upd 2226 | return    4.200 | deliv   4.20 | blocked  6.7% | idle  0.2% | ent 0.436
  upd 2227 | return    4.900 | deliv   4.90 | blocked  6.4% | idle  0.1% | ent 0.446
  upd 2228 | return    5.700 | deliv   5.70 | blocked 13.7% | idle  0.1% | ent 0.415
  upd 2229 | return    3.500 | deliv   3.50 | blocked  9.5% | idle  0.1% | ent 0.421
  upd 2230 | return    4.500 | deliv   4.50 | blocked 17.1% | idle  0.1% | ent 0.392
  upd 2231 | return    4.400 | deliv   4.40 | blocked  6.7% | idle  0.2% | ent 0.407
  upd 2232 | return    5.000 | deliv   5.00 | blocked 12.1% | idle  0.1% | ent 0.371
  upd 2233 | return    2.500 | deliv   2.50 | blocked 11.9% | idle  0.1% | ent 0.371
  upd 2234 | return    4.100 | deliv   4.10 | blocked 12.1% | idle  0.2% | ent 0.367
  upd 2235 | return    4.200 | deliv   4.20 | blocked  8.6% | idle  0.1% | ent 0.366
  upd 2236 | return    2.800 | deliv   2.80 | blocked  9.7% | idle  0.1% | ent 0.337
  upd 2237 | return    4.200 | deliv   4.20 | blocked 14.2% | idle  0.1% | ent 0.326
  upd 2238 | return    5.100 | deliv   5.10 | blocked  8.4% | idle  0.1% | ent 0.361
  upd 2239 | return    5.600 | deliv   5.60 | blocked 16.0% | idle  0.1% | ent 0.345
  upd 2240 | return    3.200 | deliv   3.20 | blocked 10.8% | idle  0.1% | ent 0.303
  upd 2241 | return    4.100 | deliv   4.10 | blocked 12.2% | idle  0.1% | ent 0.322
  upd 2242 | return    4.100 | deliv   4.10 | blocked 12.7% | idle  0.2% | ent 0.344
