E0603 07:59:14.077652     439 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 07:59:14.096776     393 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=mappo (centralised_critic=True, use_ppo=True, use_rnn=True)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=600  (steps/update=5000)  seed=2
run-dir=runs/mappo_tiny-4ag_seed2  chunk=100 updates/save  max_to_keep=5
live per-update log (return / deliveries / blocked% / idle% / entropy) follows; watch entropy — a fast drop toward 0 means exploration collapse:

  upd  238 | return    0.000 | deliv   0.00 | blocked 74.2% | idle  3.0% | ent 0.587
  upd  239 | return    0.000 | deliv   0.00 | blocked 74.7% | idle  3.6% | ent 0.651
  upd  240 | return    0.000 | deliv   0.00 | blocked 70.5% | idle  3.9% | ent 0.682
  upd  241 | return    0.100 | deliv   0.10 | blocked 68.9% | idle  4.6% | ent 0.748
  upd  242 | return    0.100 | deliv   0.10 | blocked 65.2% | idle  4.7% | ent 0.694
  upd  243 | return    0.000 | deliv   0.00 | blocked 68.7% | idle  4.7% | ent 0.709
  upd  244 | return    0.000 | deliv   0.00 | blocked 69.8% | idle  4.2% | ent 0.717
  upd  245 | return    0.000 | deliv   0.00 | blocked 68.1% | idle  4.8% | ent 0.784
  upd  246 | return    0.000 | deliv   0.00 | blocked 66.0% | idle  5.2% | ent 0.862
  upd  247 | return    0.100 | deliv   0.10 | blocked 62.9% | idle  6.2% | ent 0.944
  upd  248 | return    0.200 | deliv   0.20 | blocked 54.2% | idle  6.3% | ent 0.978
  upd  249 | return    0.100 | deliv   0.10 | blocked 53.3% | idle  6.8% | ent 1.028
  upd  250 | return    0.100 | deliv   0.10 | blocked 48.3% | idle  7.8% | ent 1.033
  upd  251 | return    0.000 | deliv   0.00 | blocked 48.9% | idle  7.0% | ent 0.986
  upd  252 | return    0.100 | deliv   0.10 | blocked 52.6% | idle  6.6% | ent 0.944
  upd  253 | return    0.100 | deliv   0.10 | blocked 54.8% | idle  5.9% | ent 0.939
  upd  254 | return    0.200 | deliv   0.20 | blocked 54.0% | idle  6.1% | ent 0.955
  upd  255 | return    0.000 | deliv   0.00 | blocked 52.3% | idle  6.8% | ent 1.037
  upd  256 | return    0.100 | deliv   0.10 | blocked 48.1% | idle  7.3% | ent 1.038
  upd  257 | return    0.100 | deliv   0.10 | blocked 48.7% | idle  6.4% | ent 0.958
  upd  258 | return    0.200 | deliv   0.20 | blocked 51.1% | idle  6.0% | ent 1.052
