E0603 10:10:58.511479     450 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
E0603 10:10:58.529362     401 cuda_executor.cc:1526] Could not get kernel mode driver version: (INVALID_ARGUMENT: Version does not match the format X.Y.Z)
algo=seac (per-agent A2C, seac_coef=1.0, use_rnn=False)
env=rware-tiny-4ag  parallel_envs=10 time_limit=500  updates=1000  (steps/update=5000)  seed=2
run-dir=runs/seac_fc_lam1_seed2  chunk=100 updates/save
  upd  147 | return    0.100 | deliv   0.10 | blocked 10.1% | idle  5.7% | ent 0.793
  upd  148 | return    0.200 | deliv   0.20 | blocked 10.5% | idle  5.6% | ent 0.767
  upd  149 | return    0.000 | deliv   0.00 | blocked  9.8% | idle  6.3% | ent 0.837
  upd  150 | return    0.100 | deliv   0.10 | blocked  9.9% | idle  6.1% | ent 0.778
  upd  151 | return    0.000 | deliv   0.00 | blocked 10.0% | idle  6.7% | ent 0.807
  upd  152 | return    0.100 | deliv   0.10 | blocked 10.4% | idle  7.2% | ent 0.820
  upd  153 | return    0.000 | deliv   0.00 | blocked 10.6% | idle  6.9% | ent 0.818
  upd  154 | return    0.100 | deliv   0.10 | blocked 10.9% | idle  7.2% | ent 0.764
  upd  155 | return    0.000 | deliv   0.00 | blocked 10.2% | idle  7.8% | ent 0.851
  upd  156 | return    0.000 | deliv   0.00 | blocked  9.3% | idle  8.0% | ent 0.811
  upd  157 | return    0.300 | deliv   0.30 | blocked  9.3% | idle  8.8% | ent 0.836
  upd  158 | return    0.100 | deliv   0.10 | blocked  8.9% | idle  8.3% | ent 0.857
  upd  159 | return    0.100 | deliv   0.10 | blocked  8.6% | idle  8.2% | ent 0.811
  upd  160 | return    0.100 | deliv   0.10 | blocked  8.2% | idle  8.3% | ent 0.790
  upd  161 | return    0.400 | deliv   0.40 | blocked  9.3% | idle  8.3% | ent 0.824
  upd  162 | return    0.100 | deliv   0.10 | blocked  8.5% | idle  8.2% | ent 0.746
  upd  163 | return    0.100 | deliv   0.10 | blocked 10.0% | idle  8.6% | ent 0.852
  upd  164 | return    0.200 | deliv   0.20 | blocked 10.1% | idle  7.7% | ent 0.812
  upd  165 | return    0.100 | deliv   0.10 | blocked 10.3% | idle  8.2% | ent 0.807
  upd  166 | return    0.000 | deliv   0.00 | blocked 10.2% | idle  7.5% | ent 0.837
  upd  167 | return    0.100 | deliv   0.10 | blocked 10.9% | idle  6.9% | ent 0.769
  upd  168 | return    0.200 | deliv   0.20 | blocked 10.9% | idle  7.6% | ent 0.770
  upd  169 | return    0.100 | deliv   0.10 | blocked 10.5% | idle  7.2% | ent 0.795
  upd  170 | return    0.100 | deliv   0.10 | blocked 10.9% | idle  7.6% | ent 0.850
  upd  171 | return    0.300 | deliv   0.30 | blocked 12.0% | idle  6.7% | ent 0.718
  upd  172 | return    0.100 | deliv   0.10 | blocked 10.6% | idle  6.9% | ent 0.783
  upd  173 | return    0.000 | deliv   0.00 | blocked 11.4% | idle  6.2% | ent 0.722
  upd  174 | return    0.100 | deliv   0.10 | blocked 11.2% | idle  6.1% | ent 0.728
  upd  175 | return    0.100 | deliv   0.10 | blocked 11.2% | idle  6.0% | ent 0.764
  upd  176 | return    0.000 | deliv   0.00 | blocked 12.2% | idle  5.6% | ent 0.769
  upd  177 | return    0.000 | deliv   0.00 | blocked 12.7% | idle  5.7% | ent 0.790
  upd  178 | return    0.100 | deliv   0.10 | blocked 12.1% | idle  4.5% | ent 0.731
  upd  179 | return    0.100 | deliv   0.10 | blocked 13.3% | idle  4.7% | ent 0.720
  upd  180 | return    0.200 | deliv   0.20 | blocked 14.5% | idle  4.6% | ent 0.745
  upd  181 | return    0.200 | deliv   0.20 | blocked 14.5% | idle  4.8% | ent 0.782
  upd  182 | return    0.100 | deliv   0.10 | blocked 16.3% | idle  4.5% | ent 0.764
  upd  183 | return    0.300 | deliv   0.30 | blocked 15.3% | idle  4.1% | ent 0.760
  upd  184 | return    0.100 | deliv   0.10 | blocked 15.7% | idle  3.7% | ent 0.731
  upd  185 | return    0.300 | deliv   0.30 | blocked 18.2% | idle  3.7% | ent 0.735
  upd  186 | return    0.000 | deliv   0.00 | blocked 16.7% | idle  3.4% | ent 0.696
  upd  187 | return    0.000 | deliv   0.00 | blocked 18.7% | idle  3.3% | ent 0.688
  upd  188 | return    0.000 | deliv   0.00 | blocked 17.9% | idle  3.4% | ent 0.718
  upd  189 | return    0.100 | deliv   0.10 | blocked 18.9% | idle  3.0% | ent 0.689
  upd  190 | return    0.100 | deliv   0.10 | blocked 20.0% | idle  2.8% | ent 0.657
  upd  191 | return    0.000 | deliv   0.00 | blocked 19.3% | idle  2.7% | ent 0.687
  upd  192 | return    0.200 | deliv   0.20 | blocked 20.1% | idle  2.6% | ent 0.687
  upd  193 | return    0.000 | deliv   0.00 | blocked 19.2% | idle  2.8% | ent 0.701
  upd  194 | return    0.000 | deliv   0.00 | blocked 20.6% | idle  2.8% | ent 0.706
  upd  195 | return    0.000 | deliv   0.00 | blocked 22.9% | idle  3.0% | ent 0.722
  upd  196 | return    0.100 | deliv   0.10 | blocked 20.5% | idle  2.7% | ent 0.702
  upd  197 | return    0.000 | deliv   0.00 | blocked 21.5% | idle  2.6% | ent 0.657
  upd  198 | return    0.100 | deliv   0.10 | blocked 22.6% | idle  2.7% | ent 0.686
  upd  199 | return    0.000 | deliv   0.00 | blocked 22.6% | idle  2.5% | ent 0.692
  upd  200 | return    0.000 | deliv   0.00 | blocked 21.5% | idle  2.5% | ent 0.705
  upd  201 | return    0.100 | deliv   0.10 | blocked 23.7% | idle  2.4% | ent 0.685
  upd  202 | return    0.100 | deliv   0.10 | blocked 22.2% | idle  2.5% | ent 0.685
  upd  203 | return    0.000 | deliv   0.00 | blocked 22.9% | idle  2.6% | ent 0.708
  upd  204 | return    0.300 | deliv   0.30 | blocked 24.0% | idle  2.6% | ent 0.716
  upd  205 | return    0.100 | deliv   0.10 | blocked 26.0% | idle  2.7% | ent 0.716
  upd  206 | return    0.200 | deliv   0.20 | blocked 24.5% | idle  2.2% | ent 0.684
  upd  207 | return    0.000 | deliv   0.00 | blocked 21.5% | idle  2.4% | ent 0.733
  upd  208 | return    0.200 | deliv   0.20 | blocked 22.7% | idle  2.7% | ent 0.728
  upd  209 | return    0.300 | deliv   0.30 | blocked 21.5% | idle  2.4% | ent 0.701
  upd  210 | return    0.100 | deliv   0.10 | blocked 25.7% | idle  2.1% | ent 0.694
  upd  211 | return    0.100 | deliv   0.10 | blocked 25.3% | idle  2.1% | ent 0.668
  upd  212 | return    0.000 | deliv   0.00 | blocked 28.9% | idle  1.8% | ent 0.586
  upd  213 | return    0.000 | deliv   0.00 | blocked 31.6% | idle  1.6% | ent 0.594
  upd  214 | return    0.100 | deliv   0.10 | blocked 31.2% | idle  1.5% | ent 0.538
  upd  215 | return    0.100 | deliv   0.10 | blocked 30.8% | idle  1.6% | ent 0.596
  upd  216 | return    0.000 | deliv   0.00 | blocked 35.4% | idle  1.2% | ent 0.535
  upd  217 | return    0.200 | deliv   0.20 | blocked 33.7% | idle  1.6% | ent 0.554
